Instance   | Time(s)    | Obj Val    | Valid | Routes
------------------------------------------------------------------------------------------------------------------------
testcases\C101.txt| 100.0635   | 1016.00    | OK    | [[0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 47, 0]]
testcases\C102.txt| 100.1053   | 1054.00    | OK    | [[0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 5, 3, 7, 8, 4, 2, 1, 75, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 0], [0, 10, 11, 9, 6, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 47, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 91, 96, 95, 94, 92, 93, 97, 100, 99, 98, 0]]
testcases\C103.txt| 100.0258   | 1014.00    | OK    | [[0, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 5, 0], [0, 20, 21, 25, 27, 29, 30, 28, 26, 23, 22, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0], [0, 43, 42, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 24, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 46, 0], [0, 3, 96, 95, 94, 92, 93, 97, 100, 99, 98, 0]]
testcases\C104.txt| 100.0027   | 1016.00    | OK    | [[0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 20, 0], [0, 3, 7, 8, 11, 9, 6, 4, 1, 2, 75, 5, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0], [0, 34, 36, 39, 38, 37, 35, 31, 32, 33, 0], [0, 43, 42, 41, 40, 44, 45, 48, 51, 50, 52, 49, 46, 0], [0, 55, 54, 53, 56, 58, 60, 59, 57, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0], [0, 96, 95, 94, 93, 92, 97, 100, 99, 98, 91, 0], [0, 87, 86, 83, 82, 84, 85, 88, 89, 90, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 66, 47, 0]]
testcases\C105.txt| 97.4606    | 1016.00    | OK    | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 33, 32, 31, 35, 37, 38, 39, 36, 34, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 47, 0]]
testcases\C106.txt| 100.0665   | 1016.00    | OK    | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 0], [0, 98, 96, 95, 94, 93, 92, 97, 100, 99, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 33, 32, 31, 35, 37, 38, 39, 36, 34, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 47, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0]]
testcases\C107.txt| 100.0779   | 1016.00    | OK    | [[0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 47, 0]]
testcases\C108.txt| 99.6010    | 1020.00    | OK    | [[0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0, 43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 49, 47, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 98, 96, 95, 94, 93, 92, 97, 100, 99, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 52, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 66, 0]]
testcases\C109.txt| 100.0018   | 1012.00    | OK    | [[0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 2, 75, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0], [0, 98, 96, 95, 94, 93, 92, 97, 100, 99, 0], [0, 57, 55, 54, 53, 56, 58, 60, 59, 0], [0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 66, 47, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0]]
