Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 1.8112   | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C102.txt        | FEASIBLE   | 100.4780 | 1018.00    | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 75, 5, 0], [0, 1...
C103.txt        | FEASIBLE   | 100.7605 | 1098.00    | OK     | [[0, 8, 10, 11, 9, 6, 4, 1, 2, 75, 5, 0], [0, 13, ...
C104.txt        | FEASIBLE   | 100.7774 | 1142.00    | OK     | [[0, 5, 3, 8, 11, 9, 6, 4, 2, 1, 75, 7, 0], [0, 13...
C105.txt        | OPTIMAL    | 8.6328   | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C106.txt        | OPTIMAL    | 17.9626  | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C107.txt        | OPTIMAL    | 8.9201   | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C108.txt        | FEASIBLE   | 100.5224 | 1036.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 75, 0], [0, 1...
C109.txt        | FEASIBLE   | 100.6811 | 1102.00    | OK     | [[0, 5, 3, 4, 1, 2, 75, 0], [0, 7, 8, 10, 11, 12, ...

Done! Total time: 540.93s
