Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 0.0400   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C102.txt        | OPTIMAL    | 0.1072   | 188.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 2, 1, 3, 5, 0], [0, 13...
C103.txt        | OPTIMAL    | 0.2110   | 188.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 2, 1, 3, 5, 0], [0, 13...
C104.txt        | OPTIMAL    | 1.5058   | 184.00     | OK     | [[0, 7, 8, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 17...
C105.txt        | OPTIMAL    | 0.0432   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C106.txt        | OPTIMAL    | 0.0362   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C107.txt        | OPTIMAL    | 0.0490   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C108.txt        | OPTIMAL    | 0.0992   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C109.txt        | OPTIMAL    | 3.4015   | 192.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 2, 0], [0, 13...

Done! Total time: 5.50s
