Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 3.3995   | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C102.txt        | FEASIBLE   | 100.9258 | 1012.00    | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 75, 5, 0], [0, 1...
C103.txt        | FEASIBLE   | 100.8599 | 1104.00    | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 3, 5, 0], [0, 13, 17, ...
C104.txt        | FEASIBLE   | 100.8734 | 1230.00    | OK     | [[0, 2, 1, 4, 3, 5, 0], [0, 7, 8, 10, 11, 9, 17, 1...
C105.txt        | OPTIMAL    | 5.4296   | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C106.txt        | OPTIMAL    | 18.8521  | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 75, 0], [0, 1...
C107.txt        | OPTIMAL    | 8.1154   | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C108.txt        | FEASIBLE   | 100.4542 | 1012.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0], [0...
C109.txt        | FEASIBLE   | 100.4805 | 1126.00    | OK     | [[0, 5, 3, 98, 99, 2, 75, 0], [0, 7, 10, 11, 8, 9,...

Done! Total time: 539.67s
