Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 1.3536   | 1012.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0], [0, 1...
C102.txt        | FEASIBLE   | 102.5969 | 1012.00    | OK     | [[0, 8, 10, 11, 9, 6, 4, 1, 2, 75, 5, 0], [0, 13, ...
C103.txt        | FEASIBLE   | 102.3068 | 1006.00    | OK     | [[0, 5, 75, 1, 8, 10, 11, 9, 6, 4, 3, 7, 0], [0, 1...
C104.txt        | FEASIBLE   | 102.7162 | 1046.00    | OK     | [[0, 7, 8, 10, 11, 9, 2, 4, 1, 75, 3, 5, 0], [0, 1...
C105.txt        | OPTIMAL    | 2.8046   | 1012.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0], [0, 1...
C106.txt        | OPTIMAL    | 13.5973  | 1012.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0], [0, 1...
C107.txt        | OPTIMAL    | 5.2157   | 1012.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0], [0, 1...
C108.txt        | OPTIMAL    | 70.2027  | 1008.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0], [0, 1...
C109.txt        | FEASIBLE   | 102.7687 | 1016.00    | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0], [0, 2...

Done! Total time: 503.68s
