Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 0.0727   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C102.txt        | OPTIMAL    | 0.3419   | 242.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 2, 1, 3, 5, 0], [0, 13...
C103.txt        | OPTIMAL    | 25.5813  | 242.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13...
C104.txt        | FEASIBLE   | 98.5432  | 238.00     | OK     | [[0, 7, 8, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 17...
C105.txt        | OPTIMAL    | 0.0880   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C106.txt        | OPTIMAL    | 0.0847   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C107.txt        | OPTIMAL    | 0.1098   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C108.txt        | OPTIMAL    | 0.2791   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C109.txt        | OPTIMAL    | 24.3492  | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 2, 0], [0, 13...

Done! Total time: 149.47s
