Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 1.2527   | 178.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C102.txt        | OPTIMAL    | 19.5534  | 174.00     | OK     | [[0, 13, 14, 12, 2, 1, 3, 5, 0], [0, 7, 8, 10, 11,...
C103.txt        | OPTIMAL    | 13.4994  | 168.00     | OK     | [[0, 13, 14, 12, 10, 11, 2, 1, 4, 3, 5, 0], [0, 8,...
C104.txt        | FEASIBLE   | 30.3257  | 164.00     | OK     | [[0, 8, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 14, 12, 1...
C105.txt        | OPTIMAL    | 1.6075   | 178.00     | OK     | [[0, 13, 14, 12, 2, 1, 0], [0, 5, 3, 7, 8, 10, 11,...
C106.txt        | OPTIMAL    | 1.1746   | 178.00     | OK     | [[0, 13, 14, 12, 2, 1, 0], [0, 5, 3, 7, 8, 10, 11,...
C107.txt        | OPTIMAL    | 1.5947   | 178.00     | OK     | [[0, 13, 14, 12, 4, 2, 1, 0], [0, 5, 3, 7, 8, 10, ...
C108.txt        | OPTIMAL    | 3.4669   | 172.00     | OK     | [[0, 8, 13, 14, 12, 9, 4, 2, 1, 0], [0, 5, 3, 7, 1...
C109.txt        | FEASIBLE   | 30.2431  | 162.00     | OK     | [[0, 5, 3, 4, 1, 2, 0], [0, 7, 8, 10, 13, 14, 12, ...

Done! Total time: 102.80s
